idno,cntry,gndr,agea,c2weight,w4q47,w4q48,w4q49,w4q50,w4q51,w4q52,w4q53,w4q54,w4q55,w4q56,w4q57,w4q58,w4q59,w4q60,gndr_lab,age_band,cntry_iso2,positive_affect_mean,distress_mean,positive_affect_z,distress_z
78587,GB,1,48,1.1072557,1,1,2,3,1,4,1,1,1,1,2,2,2,1,Male,45–64,GB,3.5,1.3333333333333333,1.1303926248022642,-0.6913221013146087
78875,GB,2,76,0.2873977,1,1,2,3,1,3,1,1,2,2,1,1,2,2,Female,65+,GB,3,1.4166666666666667,0.44262012353696373,-0.5434027576432284
78932,GB,1,75,0.59554136,1,2,2,3,1,2,1,2,1,1,1,1,2,1,Male,65+,GB,2.5,1.3333333333333333,-0.2451523777283367,-0.6913221013146087
79029,GB,2,56,0.6179731,3,4,4,2,1,1,3,2,3,3,4,4,3,2,Female,45–64,GB,1.5,3,-1.6206973802589375,2.267064772112991
79309,GB,1,65,0.7993661,1,2,2,3,1,3,2,3,2,1,1,1,2,1,Male,65+,GB,3,1.5833333333333333,0.44262012353696373,-0.24756407030046876
79433,GB,2,44,0.8827575,1,2,2,4,1,4,2,1,2,1,2,1,2,2,Female,30–44,GB,4,1.5833333333333333,1.8181651260675646,-0.24756407030046876
79458,GB,1,68,0.39743766,1,1,2,4,2,3,1,1,1,1,1,1,1,1,Male,65+,GB,3.5,1.1666666666666667,1.1303926248022642,-0.9871607886573683
79467,GB,2,52,1.5150493,1,1,2,2,1,2,1,1,1,1,1,1,1,1,Female,45–64,GB,2,1.0833333333333333,-0.9329248789936372,-1.1350801323287485
79572,GB,2,45,0.60093564,1,1,1,3,1,3,1,2,2,1,2,1,2,1,Female,45–64,GB,3,1.3333333333333333,0.44262012353696373,-0.6913221013146087
79598,GB,1,82,0.7646076,2,2,1,3,1,2,1,2,1,1,1,1,2,1,Male,65+,GB,2.5,1.3333333333333333,-0.2451523777283367,-0.6913221013146087
79694,GB,1,41,0.9793956,1,1,2,4,1,4,2,2,2,2,2,1,1,1,Male,30–44,GB,4,1.5,1.8181651260675646,-0.3954834139718486
79813,GB,1,52,0.47781774,2,2,1,3,2,3,1,1,1,1,2,1,3,1,Male,45–64,GB,3,1.5,0.44262012353696373,-0.3954834139718486
79869,GB,1,35,1.0390987,2,2,2,3,2,3,2,2,2,2,2,1,2,2,Male,30–44,GB,3,1.9166666666666667,0.44262012353696373,0.34411330438505133
80000,GB,2,68,0.5820281,1,1,2,4,1,4,2,1,1,1,1,1,1,1,Female,65+,GB,4,1.1666666666666667,1.8181651260675646,-0.9871607886573683
80335,GB,1,55,0.45649704,2,2,3,3,1,2,2,3,2,1,2,1,2,1,Male,45–64,GB,2.5,1.8333333333333333,-0.2451523777283367,0.19619396071367112
80487,GB,2,30,1.198132,2,2,4,3,2,3,2,2,4,2,2,2,2,1,Female,30–44,GB,3,2.25,0.44262012353696373,0.9357906790705711
80508,GB,1,78,0.72789836,1,1,1,4,1,4,2,1,1,1,1,1,2,1,Male,65+,GB,4,1.1666666666666667,1.8181651260675646,-0.9871607886573683
80743,GB,1,61,0.31528455,2,2,2,2,4,1,2,2,2,1,1,1,1,1,Male,45–64,GB,1.5,1.75,-1.6206973802589375,0.048274617042291294
81007,GB,2,62,0.6646995,1,1,1,4,1,4,2,1,1,1,1,1,1,1,Female,45–64,GB,4,1.0833333333333333,1.8181651260675646,-1.1350801323287485
81174,GB,2,26,1.3979288,1,1,3,3,2,3,2,1,1,2,2,3,4,3,Female,18–29,GB,3,2.0833333333333335,0.44262012353696373,0.6399519917278114
81629,GB,2,30,1.228993,1,2,1,2,1,2,1,1,1,1,1,1,1,1,Female,30–44,GB,2,1.0833333333333333,-0.9329248789936372,-1.1350801323287485
81741,GB,2,56,0.29899797,4,3,4,2,3,2,2,3,3,3,4,3,3,3,Female,45–64,GB,2,3.1666666666666665,-0.9329248789936372,2.5629034594557503
81861,GB,2,58,0.41651627,3,3,4,2,3,2,3,2,3,3,4,2,3,3,Female,45–64,GB,2,3,-0.9329248789936372,2.267064772112991
81902,GB,1,,1.1106405,1,1,1,2,2,2,2,1,3,4,4,2,1,4,Male,,GB,2,2.1666666666666665,-0.9329248789936372,0.7878713353991909
81936,GB,1,54,0.43735823,2,2,2,2,2,3,2,2,2,2,2,1,2,2,Male,45–64,GB,2.5,1.9166666666666667,-0.2451523777283367,0.34411330438505133
82006,GB,1,35,1.4904528,2,2,2,3,2,2,2,1,2,2,2,1,2,2,Male,30–44,GB,2.5,1.8333333333333333,-0.2451523777283367,0.19619396071367112
82060,GB,2,64,0.8471816,1,2,2,3,1,3,2,1,2,2,2,2,3,3,Female,45–64,GB,3,1.9166666666666665,0.44262012353696373,0.34411330438505094
82372,GB,1,72,0.48510918,2,2,2,2,3,2,2,2,2,1,2,1,2,1,Male,65+,GB,2,1.8333333333333333,-0.9329248789936372,0.19619396071367112
82425,GB,1,72,0.94354826,1,2,2,2,1,3,1,2,3,2,1,1,1,1,Male,65+,GB,2.5,1.5,-0.2451523777283367,-0.3954834139718486
82529,GB,1,63,0.33366844,3,2,2,3,3,4,2,2,1,1,2,1,1,1,Male,45–64,GB,3.5,1.75,1.1303926248022642,0.048274617042291294
82546,GB,2,79,0.63309205,3,4,4,2,4,3,3,3,4,3,3,3,2,3,Female,65+,GB,2.5,3.25,-0.2451523777283367,2.710822803127131
82563,GB,2,63,0.31071445,4,4,4,1,4,1,3,4,3,2,3,3,3,2,Female,45–64,GB,1,3.25,-2.308469881524238,2.710822803127131
82604,GB,1,40,1.2221993,3,3,3,2,1,2,3,1,2,2,2,2,2,2,Male,30–44,GB,2,2.1666666666666665,-0.9329248789936372,0.7878713353991909
82606,GB,2,64,1.8456866,2,2,2,2,1,2,1,2,1,1,1,1,1,1,Female,45–64,GB,2,1.3333333333333333,-0.9329248789936372,-0.6913221013146087
82809,GB,2,84,0.48403224,3,3,3,2,1,2,2,2,3,3,2,2,3,2,Female,65+,GB,2,2.4166666666666665,-0.9329248789936372,1.2316293664133307
82855,GB,2,71,0.45258534,1,1,2,3,2,2,2,1,1,1,2,1,1,1,Female,65+,GB,2.5,1.3333333333333333,-0.2451523777283367,-0.6913221013146087
82862,GB,2,55,0.6271056,1,1,1,4,1,4,1,1,1,1,1,1,1,1,Female,45–64,GB,4,1,1.8181651260675646,-1.2829994760001284
82940,GB,2,33,0.93396986,2,2,4,1,2,3,2,3,4,4,4,3,1,1,Female,30–44,GB,2,2.6666666666666665,-0.9329248789936372,1.6753873974274707
82956,GB,2,23,1.5271931,1,3,1,3,1,4,1,4,3,2,2,1,3,4,Female,18–29,GB,3.5,2.1666666666666665,1.1303926248022642,0.7878713353991909
83004,GB,1,70,1.1111516,2,2,3,3,1,3,2,2,2,2,2,2,1,1,Male,65+,GB,3,1.8333333333333333,0.44262012353696373,0.19619396071367112
83129,GB,2,66,0.77920896,1,1,2,4,1,4,1,1,1,1,1,1,1,1,Female,65+,GB,4,1.0833333333333333,1.8181651260675646,-1.1350801323287485
83157,GB,1,77,0.62174445,2,3,2,2,2,2,2,3,2,2,2,2,3,1,Male,65+,GB,2,2.1666666666666665,-0.9329248789936372,0.7878713353991909
83167,GB,2,69,0.6339641,1,2,3,2,1,3,2,2,2,1,2,2,2,1,Female,65+,GB,2.5,1.75,-0.2451523777283367,0.048274617042291294
83200,GB,1,54,0.9099916,3,3,4,2,4,1,2,3,3,4,4,4,3,3,Male,45–64,GB,1.5,3.3333333333333335,-1.6206973802589375,2.858742146798511
83274,GB,2,81,1.0538152,2,2,3,3,1,3,2,2,2,2,2,2,2,1,Female,65+,GB,3,1.9166666666666667,0.44262012353696373,0.34411330438505133
83283,GB,2,80,0.454221,,,,,,,,,,,,,,,Female,65+,GB,,,,
83298,GB,1,44,0.8116487,1,1,1,3,1,2,1,1,1,1,1,1,1,1,Male,30–44,GB,2.5,1,-0.2451523777283367,-1.2829994760001284
83366,GB,1,20,2.5191848,2,2,1,2,2,2,2,2,2,3,2,2,4,2,Male,18–29,GB,2,2.1666666666666665,-0.9329248789936372,0.7878713353991909
83575,GB,1,81,0.3915091,1,2,1,4,2,4,2,2,1,1,2,1,2,1,Male,65+,GB,4,1.5,1.8181651260675646,-0.3954834139718486
83696,GB,2,77,0.63294935,1,1,3,4,1,4,1,1,1,2,2,1,1,1,Female,65+,GB,4,1.3333333333333333,1.8181651260675646,-0.6913221013146087
83746,GB,2,67,0.7038287,1,1,1,4,1,4,1,1,1,2,2,1,1,1,Female,65+,GB,4,1.1666666666666667,1.8181651260675646,-0.9871607886573683
83766,GB,1,60,1.619442,1,2,3,4,1,3,1,2,1,1,2,1,1,1,Male,45–64,GB,3.5,1.4166666666666667,1.1303926248022642,-0.5434027576432284
84194,GB,2,24,0.55810684,2,2,2,3,1,3,2,2,2,2,2,2,3,1,Female,18–29,GB,3,1.9166666666666667,0.44262012353696373,0.34411330438505133
84240,GB,2,39,0.42316383,3,2,2,3,3,2,3,2,2,3,2,3,3,3,Female,30–44,GB,2.5,2.5833333333333335,-0.2451523777283367,1.5274680537560912
84371,GB,2,73,0.7827799,,1,1,4,1,4,1,1,1,4,1,1,1,1,Female,65+,GB,4,1.2727272727272727,1.8181651260675646,-0.7988998058028849
84415,GB,2,60,1.1485602,2,3,4,2,3,2,2,2,2,2,3,1,3,2,Female,45–64,GB,2,2.4166666666666665,-0.9329248789936372,1.2316293664133307
84462,GB,2,51,0.9181498,1,2,3,4,1,2,1,2,1,2,2,1,2,1,Female,45–64,GB,3,1.5833333333333333,0.44262012353696373,-0.24756407030046876
84511,GB,2,56,0.67719567,1,1,2,2,1,2,2,1,1,2,2,1,1,1,Female,45–64,GB,2,1.3333333333333333,-0.9329248789936372,-0.6913221013146087
84615,GB,2,26,0.79982466,1,1,2,3,2,3,2,1,2,1,1,1,2,1,Female,18–29,GB,3,1.4166666666666667,0.44262012353696373,-0.5434027576432284
84641,GB,1,75,0.32875445,2,1,1,2,2,2,2,2,1,1,1,1,1,1,Male,65+,GB,2,1.3333333333333333,-0.9329248789936372,-0.6913221013146087
84713,GB,2,76,0.58775204,2,1,2,2,3,2,2,1,2,2,2,1,1,3,Female,65+,GB,2,1.8333333333333333,-0.9329248789936372,0.19619396071367112
84838,GB,2,45,0.7104567,1,2,2,3,1,4,2,1,2,2,2,1,2,2,Female,45–64,GB,3.5,1.6666666666666667,1.1303926248022642,-0.09964472662908853
84907,GB,2,81,1.4059066,1,2,3,3,1,4,1,2,2,2,2,1,1,1,Female,65+,GB,3.5,1.5833333333333333,1.1303926248022642,-0.24756407030046876
84924,GB,2,45,1.4281219,1,1,2,3,1,4,1,1,1,1,1,1,1,1,Female,45–64,GB,3.5,1.0833333333333333,1.1303926248022642,-1.1350801323287485
84960,GB,1,73,0.4258761,2,1,4,2,2,2,2,1,2,4,2,2,3,2,Male,65+,GB,2,2.25,-0.9329248789936372,0.9357906790705711
85025,GB,2,57,0.8570023,2,2,2,2,2,2,2,2,2,2,2,2,2,,Female,45–64,GB,2,2,-0.9329248789936372,0.4920326480564312
85102,GB,2,49,0.8129068,1,1,2,2,1,2,1,1,1,1,1,2,1,1,Female,45–64,GB,2,1.1666666666666667,-0.9329248789936372,-0.9871607886573683
85132,GB,1,82,0.3291814,2,3,4,2,4,4,2,2,1,3,3,1,2,1,Male,65+,GB,3,2.3333333333333335,0.44262012353696373,1.0837100227419514
85179,GB,1,64,1.383078,1,1,3,4,1,2,1,1,1,4,1,1,3,1,Male,45–64,GB,3,1.5833333333333333,0.44262012353696373,-0.24756407030046876
85183,GB,1,70,0.3474875,2,2,2,2,2,2,2,2,1,1,1,2,1,1,Male,65+,GB,2,1.5833333333333335,-0.9329248789936372,-0.24756407030046837
85273,GB,2,45,0.63699263,1,1,2,4,1,4,1,1,1,1,2,1,1,1,Female,45–64,GB,4,1.1666666666666667,1.8181651260675646,-0.9871607886573683
85402,GB,1,53,0.76211405,2,2,1,2,2,2,2,1,2,2,2,2,2,1,Male,45–64,GB,2,1.75,-0.9329248789936372,0.048274617042291294
85461,GB,2,42,0.7298231,3,3,4,2,3,1,2,3,4,4,4,2,1,4,Female,30–44,GB,1.5,3.0833333333333335,-1.6206973802589375,2.414984115784371
85486,GB,2,52,0.92151207,2,2,2,2,2,2,2,2,2,2,1,1,2,1,Female,45–64,GB,2,1.75,-0.9329248789936372,0.048274617042291294
85536,GB,2,50,0.55279636,2,2,4,2,1,2,2,2,4,4,4,4,2,2,Female,45–64,GB,2,2.75,-0.9329248789936372,1.8233067410988508
85751,GB,1,58,0.93689287,1,1,2,1,1,4,1,1,1,1,2,1,1,1,Male,45–64,GB,2.5,1.1666666666666667,-0.2451523777283367,-0.9871607886573683
85832,GB,2,42,1.1886977,1,2,1,2,3,2,2,2,2,2,3,1,2,1,Female,30–44,GB,2,1.8333333333333333,-0.9329248789936372,0.19619396071367112
85835,GB,2,62,0.49768126,1,2,2,3,1,3,1,1,2,2,2,2,2,2,Female,45–64,GB,3,1.6666666666666667,0.44262012353696373,-0.09964472662908853
85904,GB,2,57,0.50473315,1,1,2,4,1,3,1,1,1,1,1,1,1,1,Female,45–64,GB,3.5,1.0833333333333333,1.1303926248022642,-1.1350801323287485
85917,GB,2,37,2.157932,1,1,1,3,2,3,2,1,1,1,2,3,1,2,Female,30–44,GB,3,1.5,0.44262012353696373,-0.3954834139718486
86056,GB,1,65,1.1967258,1,1,3,3,2,4,1,1,1,1,1,3,1,1,Male,65+,GB,3.5,1.4166666666666667,1.1303926248022642,-0.5434027576432284
86090,GB,2,55,0.38430277,1,1,3,4,2,4,1,1,1,1,1,2,1,1,Female,45–64,GB,4,1.3333333333333333,1.8181651260675646,-0.6913221013146087
86108,GB,1,64,0.76916707,2,2,2,3,2,3,2,2,2,2,2,1,1,2,Male,45–64,GB,3,1.8333333333333333,0.44262012353696373,0.19619396071367112
86353,GB,1,60,0.28609264,2,2,2,3,1,3,3,2,2,1,3,1,3,1,Male,45–64,GB,3,1.9166666666666667,0.44262012353696373,0.34411330438505133
86446,GB,1,77,0.8387988,1,2,2,3,1,3,1,2,1,1,1,1,2,1,Male,65+,GB,3,1.3333333333333333,0.44262012353696373,-0.6913221013146087
86485,GB,1,67,0.39285,4,4,3,1,4,2,3,2,3,4,3,3,4,2,Male,65+,GB,1.5,3.25,-1.6206973802589375,2.710822803127131
86605,GB,1,49,1.9664127,3,4,2,2,2,2,3,2,3,2,3,1,2,3,Male,45–64,GB,2,2.5,-0.9329248789936372,1.379548710084711
86614,GB,2,41,1.327847,2,3,2,2,2,2,3,1,2,3,3,2,,1,Female,30–44,GB,2,2.1818181818181817,-0.9329248789936372,0.8147657615212599
86691,GB,1,41,0.9230994,2,2,3,1,2,1,2,3,3,2,2,3,4,2,Male,30–44,GB,1,2.5,-2.308469881524238,1.379548710084711
86709,GB,2,74,0.36126515,2,2,4,3,1,3,2,2,2,1,3,2,2,2,Female,65+,GB,3,2.0833333333333335,0.44262012353696373,0.6399519917278114
86818,GB,1,50,0.98695344,1,2,2,3,1,3,1,2,1,1,1,1,2,1,Male,45–64,GB,3,1.3333333333333333,0.44262012353696373,-0.6913221013146087
87113,GB,1,53,1.0764437,1,2,3,2,2,3,2,2,2,2,3,3,4,3,Male,45–64,GB,2.5,2.4166666666666665,-0.2451523777283367,1.2316293664133307
87339,GB,1,31,3.307834,3,3,3,2,4,2,3,1,2,2,2,1,2,2,Male,30–44,GB,2,2.3333333333333335,-0.9329248789936372,1.0837100227419514
87532,GB,2,36,1.5504117,4,4,4,1,1,1,4,4,4,4,4,4,4,4,Female,30–44,GB,1,3.75,-2.308469881524238,3.598338865155411
87625,GB,2,28,0.5517093,2,2,2,2,2,2,2,2,2,3,3,1,2,1,Female,18–29,GB,2,2,-0.9329248789936372,0.4920326480564312
87695,GB,2,30,1.3983127,2,4,2,3,1,4,2,1,3,3,3,2,4,3,Female,30–44,GB,3.5,2.5,1.1303926248022642,1.379548710084711
87738,GB,2,69,0.3141685,1,1,1,3,1,4,1,1,1,1,1,1,2,1,Female,65+,GB,3.5,1.0833333333333333,1.1303926248022642,-1.1350801323287485
87902,GB,1,56,1.1684664,1,1,1,4,1,4,1,1,1,1,2,2,1,1,Male,45–64,GB,4,1.1666666666666667,1.8181651260675646,-0.9871607886573683
88028,GB,2,23,2.2413573,1,3,4,3,1,4,1,2,2,1,1,2,2,1,Female,18–29,GB,3.5,1.75,1.1303926248022642,0.048274617042291294
88167,GB,2,55,3.9221973,1,1,,3,1,4,,2,2,2,2,1,2,1,Female,45–64,GB,3.5,1.5,1.1303926248022642,-0.3954834139718486
88251,GB,1,34,1.7073994,1,2,2,3,1,3,2,2,2,2,2,1,2,1,Male,30–44,GB,3,1.6666666666666667,0.44262012353696373,-0.09964472662908853
88280,GB,1,72,0.7969123,1,2,1,3,1,3,1,2,2,1,2,2,1,2,Male,65+,GB,3,1.5,0.44262012353696373,-0.3954834139718486
88309,GB,1,32,2.820128,1,3,4,1,4,1,1,4,2,1,4,2,2,2,Male,30–44,GB,1,2.5,-2.308469881524238,1.379548710084711
